Date,AAPL,JPM,HON,NOC,MSFT,JNJ,PG,SPY,IWM,QQQ,ACWI,TLT,GLD,VNQ,UUP
1999-01-04 00:00:00-05:00,0.309934139251709,22.460887908935547,23.146522521972656,18.782093048095703,21.608434677124023,21.037076950073242,22.552749633789062,77.11730194091797,,,,,,,
1999-01-05 00:00:00-05:00,0.32543060183525085,22.63666534423828,23.27937889099121,19.042049407958984,22.451316833496094,21.116579055786133,22.944290161132812,77.9987564086914,,,,,,,
1999-01-06 00:00:00-05:00,0.31369057297706604,23.124940872192383,23.744312286376953,18.01846694946289,23.17927360534668,21.37099838256836,23.21053695678711,79.87918853759766,,,,,,,
1999-01-07 00:00:00-05:00,0.3381097912788391,24.081974029541016,23.51183319091797,17.677263259887695,23.0643310546875,21.16427993774414,22.772008895874023,79.4874038696289,,,,,,,
1999-01-08 00:00:00-05:00,0.3381097912788391,23.59369659423828,23.4786319732666,16.962379455566406,22.968544006347656,21.180179595947266,22.349149703979492,80.07505798339844,,,,,,,
1999-01-11 00:00:00-05:00,0.3446836471557617,23.828062057495117,23.113327026367188,17.124853134155273,22.604572296142578,20.401039123535156,21.86363410949707,79.31111145019531,,,,,,,
1999-01-12 00:00:00-05:00,0.3465620279312134,23.08588981628418,22.748027801513672,16.994884490966797,21.79043960571289,20.305627822875977,22.16120147705078,77.88121795654297,,,,,,,
1999-01-13 00:00:00-05:00,0.34938034415245056,22.382755279541016,22.1834774017334,16.686168670654297,22.039447784423828,19.590076446533203,22.051576614379883,77.332763671875,,,,,,,
1999-01-14 00:00:00-05:00,0.3108733892440796,21.328065872192383,21.78497314453125,16.263734817504883,21.723377227783203,19.860395431518555,21.346805572509766,75.98117065429688,,,,,,,
1999-01-15 00:00:00-05:00,0.3104037046432495,22.14838981628418,22.615192413330078,16.344970703125,22.949390411376953,20.35332489013672,21.707019805908203,77.95952606201172,,,,,,,
1999-01-19 00:00:00-05:00,0.30711591243743896,23.242128372192383,22.0838565826416,16.247478485107422,23.84973907470703,20.46463966369629,21.6600399017334,78.46886444091797,,,,,,,
1999-01-20 00:00:00-05:00,0.3047681152820587,24.101505279541016,21.751768112182617,16.085010528564453,24.92250633239746,20.607755661010742,21.307432174682617,79.09567260742188,,,,,,,
1999-01-21 00:00:00-05:00,0.29161936044692993,23.554630279541016,21.12080192565918,15.825050354003906,24.261594772338867,20.35332489013672,21.747400283813477,76.9997329711914,,,,,,,
1999-01-22 00:00:00-05:00,0.2911497950553894,22.460887908935547,21.054386138916016,15.66257381439209,23.945526123046875,19.971698760986328,21.4488525390625,76.82347869873047,,,,,,,
1999-01-25 00:00:00-05:00,0.2958463132381439,23.261659622192383,21.021175384521484,15.89004135131836,24.807558059692383,20.03531265258789,21.02458381652832,77.60701751708984,,,,,,,
1999-01-26 00:00:00-05:00,0.30429860949516296,23.203073501586914,21.286849975585938,15.646326065063477,26.292190551757812,20.989381790161133,21.51169204711914,79.01734161376953,,,,,,,
1999-01-27 00:00:00-05:00,0.3014810383319855,22.851505279541016,20.987964630126953,15.045181274414062,25.842012405395508,21.27560043334961,21.70026969909668,78.09668731689453,,,,,,,
1999-01-28 00:00:00-05:00,0.30711591243743896,23.007753372192383,20.82192611694336,14.947691917419434,26.66573715209961,21.561811447143555,22.077383041381836,79.40909576416016,,,,,,,
1999-01-29 00:00:00-05:00,0.30946457386016846,24.04290771484375,20.722312927246094,14.817706108093262,26.81898307800293,21.657211303710938,22.847341537475586,80.01634216308594,,,,,,,
1999-02-01 00:00:00-05:00,0.3075854182243347,24.003843307495117,20.788715362548828,16.279987335205078,26.502904891967773,21.291494369506836,22.784496307373047,79.54620361328125,,,,,,,
1999-02-02 00:00:00-05:00,0.2944367527961731,24.003843307495117,20.987964630126953,16.702421188354492,25.68876075744629,21.10068130493164,22.25023078918457,79.05651092529297,,,,,,,
1999-02-03 00:00:00-05:00,0.301950603723526,24.80463409423828,20.85512924194336,17.043609619140625,25.564237594604492,21.466400146484375,22.344512939453125,79.85962677001953,,,,,,,
1999-02-04 00:00:00-05:00,0.28457584977149963,24.355405807495117,21.054386138916016,17.011117935180664,24.37653923034668,21.339187622070312,22.077383041381836,78.66471099853516,,,,,,,
1999-02-05 00:00:00-05:00,0.2728358507156372,23.886653900146484,22.880876541137695,17.222339630126953,24.52021598815918,21.37099838256836,21.338851928710938,77.76368713378906,,,,,,,
1999-02-08 00:00:00-05:00,0.2836367189884186,22.851505279541016,22.748027801513672,17.222339630126953,25.324790954589844,21.37099838256836,21.70026969909668,77.92042541503906,,,,,,,
1999-02-09 00:00:00-05:00,0.2794097661972046,22.499942779541016,22.64841079711914,16.832387924194336,24.5297908782959,21.037076950073242,21.684541702270508,76.17709350585938,,,,,,,
1999-02-10 00:00:00-05:00,0.2878628671169281,22.83198356628418,22.714826583862305,16.4912052154541,24.615991592407227,21.323299407958984,22.12452507019043,76.66675567626953,,,,,,,
1999-02-11 00:00:00-05:00,0.2977244555950165,23.788997650146484,23.246156692504883,16.21500015258789,24.94166374206543,21.594425201416016,22.234516143798828,78.42971801757812,,,,,,,
1999-02-12 00:00:00-05:00,0.28316718339920044,23.14447021484375,22.847665786743164,15.922530174255371,24.175397872924805,21.594425201416016,21.998817443847656,77.48949432373047,,,,,,,
1999-02-16 00:00:00-05:00,0.2878628671169281,24.277284622192383,22.980487823486328,15.825050354003906,23.945526123046875,22.104782104492188,22.548799514770508,77.01937866210938,,,,,,,
