,AAPL,JPM,HON,NOC,MSFT,JNJ,PG,SPY,IWM,QQQ,ACWI,TLT,GLD,VNQ,UUP
1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,0.6396858449654347,0.0004973242724513034,0.0009732128786461749,0.012341761733618528,0.0633117798841565,0.12907307823538175,0.021270131889429424,0.05061183212720762,0.0,0.08223503401367421,0.0,0.0,0.0,0.0,0.0
2001,0.09991016115703732,0.06250900619735526,0.06000640230086955,0.031216441612363525,0.0030151208215386536,0.029904496838222876,0.062366487127281926,0.03978260052269414,0.5719608887847316,0.039328394637905134,0.0,0.0,0.0,0.0,0.0
2002,0.01506987182096912,0.1366833282723777,0.02070787584344773,0.1261304876220417,0.011628447956639693,0.08922133723270731,0.03921784529859557,0.018892238963160633,0.518824249051602,0.023624317938458452,0.0,0.0,0.0,0.0,0.0
2003,0.04022098992162289,0.019337705987953778,0.028439912947428182,0.0005004451308192419,0.041448314532699704,0.016921551768920764,0.015837287638782796,0.1795977811118792,0.5382848487906695,0.02160327730734889,0.0,0.0978078848618751,0.0,0.0,0.0
2004,0.17184534892017636,0.02076112479630703,0.06618500917667422,0.05621343752115962,0.029563175621752615,0.09086418075482566,0.030281926039643615,0.04191788655315476,0.47277800399877035,0.019404524143982617,0.0,0.00018538247355312068,0.0,0.0,0.0
2005,0.5927739135931759,0.051923936584604466,0.06439231757897475,0.005513225299893269,0.018762527586361568,0.012682583604785752,0.029432748721176405,0.03599826973264384,0.05307175633392428,0.02524864304876764,0.0,0.07188143960420326,0.02221105279947628,0.01610758551201263,0.0
2006,0.5067034395337514,0.008454896954793081,0.0004992672317366913,0.06272086072882303,0.026449382624325262,0.07681628332209273,0.011573068225353967,0.06461459262372853,0.004861078567124201,0.03776907926692517,0.0,0.016273175722900154,0.08324649837213752,0.10001837682630806,0.0
2007,0.38377173658095876,0.17434418930302759,0.02778429376380482,0.00438360813280673,0.052728260046394276,0.05481349995670317,0.013026162862132767,0.00983807879264606,0.028906558210560575,0.02314576345877193,0.0,0.16382860767798163,0.05030583704580307,0.0131234041684084,0.0
2008,0.14199857676607278,0.06362732277021126,0.02663539917944679,0.0023921190917223236,0.0562401143880003,0.050062380996501336,0.027098274822426573,0.0038570884450450796,0.3980987456607593,0.15421779318693016,0.0,0.048914668082592525,0.0016309625049746512,0.002653694335899814,0.022572859769417034
2009,0.3533718787273524,0.14159664988497933,0.0626029809780247,0.026500203196965624,0.015804103415405626,0.011171987216284885,0.0028457953060237336,0.02940076104262972,0.009366631119389023,0.019358044351766128,0.017334409778063296,0.055815519749077315,0.11270588357470124,0.13118699764602312,0.010938154013313736
2010,0.4004607425398886,0.04717386107994385,0.015446139021493499,0.006507273185099116,0.005760519753158969,0.03544096076419371,0.10026353227715297,0.010144068590429038,0.010129666801043859,0.007435498322484328,0.02885278491075803,0.01865561163972387,0.027634000019680423,0.251566349312047,0.03452899178290262
2011,0.001010755396315567,0.003558454051505792,0.01838992069499702,0.022585421570080828,0.06879338289665322,0.013872333086788256,0.027904741099906653,0.044748980908078065,0.5281640602707903,0.12066036672949555,0.011156463795341761,0.0798861759514505,0.04624005605548297,0.010885313228163622,0.0021435742649498087
2012,0.166262530142376,0.39181485190325155,0.007617227643569797,0.05915424941759668,0.013042892177995083,0.09386163221030054,0.01219378561893931,0.020880294040022406,0.01753050464717758,0.16229535777957055,0.01579298504883448,0.013603078615243017,0.01697709705198809,0.00787170834162046,0.0011018053615145082
2013,0.005024636016348885,0.10113787092871201,0.0474900409298611,0.07352139801264294,0.05409028298042589,0.008152984993994446,0.002818817148561308,0.008156615346247412,0.034381615438084996,0.01848467778104318,0.030007866907685043,0.05124564098417108,0.03500074280290209,0.5295776610665076,0.0009091486628120518
2014,0.37773606960297423,0.1561029944239404,0.006675576788650669,0.09246586329048256,0.023712876620445324,0.01422332649086041,0.04889835854591949,0.06410685131210445,0.033920216829804804,0.0049876515729953205,0.027762240325350476,0.039947410005639526,0.021556953184355045,0.07408908334236411,0.013814527664112983
2015,0.3988029286904115,0.030813165634317994,0.003327474797249377,0.004906230147394506,0.032041372426953374,0.08584391615893992,0.016222853237748604,0.04708824239880871,0.027048188185359943,0.09049060505945744,0.004017758836502749,0.04927433243737319,0.0690711649917102,0.13052305752067847,0.01052870947709407
2016,0.40493944144140825,0.014592374233263072,0.004758497450250576,0.03401500399789678,0.2018627988863953,0.018149563389083308,0.010209684766989888,0.00038900738915660296,0.10902478684097958,0.03115348144035052,0.06617831065655592,0.02971085979069579,0.0033797425609891794,0.021099074627313752,0.050537372528671534
2017,0.37236383216930385,0.10028534580681607,0.02952264022377263,0.0912478101155866,0.0046484418827996594,0.005612585459516974,0.026179800289928397,0.028139717398946332,0.17657531580630567,0.07039517308747884,0.02646705334857404,0.04183648634452915,0.0035561823131343524,0.022985170607586983,0.0001844451457207324
